Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
John Wick: Chapter 2,2017,89,109336,Chad Stahelski,Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows... [More],"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio","John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
Casino Royale,2006,94,105896,Martin Campbell,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers... [More]","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."
Baby Driver,2017,92,122978,Edgar Wright,Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the... [More],"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal","Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
Fist of Legend,1994,100,74498,Gordon Chan,"Chinese martial arts student Chen Zhen (Jet Li) is studying in Kyoto, Japan, when he learns his mentor has died... [More]","Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata",No consensus yet.
The Killer,1989,98,99751,John Woo,"Mob assassin Jeffrey (Chow Yun-Fat) is no ordinary hired gun; the best in his business, he views his chosen profession... [More]","Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.
The Raid 2,2014,82,88392,Gareth Evans,"After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal... [More]","Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."
Enter the Dragon,1973,95,98743,Robert Clouse,Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death... [More],"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri","Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song."
Commando,1985,67,68256,Mark L. Lester,"Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is... [More]","Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells","The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."
First Blood,1982,86,86250,Ted Kotcheff,Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old... [More],"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso","Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills."
Mission: Impossible Rogue Nation,2015,94,106915,Christopher McQuarrie,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the... [More]","Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
The Terminator,1984,100,104539,James Cameron,"Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill... [More]","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,78,84776,Ridley Scott,"Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor... [More]","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Vol. 1,2003,85,92985,Quentin Tarantino,"A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover... [More]","Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
The Professional,1994,73,76769,Luc Besson,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive... [More]","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
Speed,1994,94,98289,Jan de Bont,Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt... [More],"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton","A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
Drunken Master II,1994,84,85425,Chia-Liang Liu,"From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the... [More]","Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86,95554,Chad Stahelski,Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden... [More],"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
"Crouching Tiger, Hidden Dragon",2000,97,102807,Ang Lee,"In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)... [More]","Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
Predator,1987,80,82777,John McTiernan,"Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians... [More]","Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo","Predator: Part sci-fi, part horror, part action -- all muscle."
The Bourne Ultimatum,2007,92,103323,Paul Greengrass,Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa... [More],"Matt Damon, Julia Stiles, Joan Allen, David Strathairn","The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
Total Recall,1990,82,87035,Paul Verhoeven,Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars.... [More],"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2,1981,94,97509,George Miller,"After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel... [More]","Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
